Field,MainPlot,Fertilizer,SubPlot,Variety,Yield
Field_1,MP1,F1,1,V2,53.5832308
Field_1,MP1,F1,2,V1,46.18714792
Field_1,MP1,F1,3,V3,49.52151064
Field_1,MP1,F1,4,V4,44.2414998
Field_1,MP2,F2,1,V1,56.58714792
Field_1,MP2,F2,2,V2,57.3832308
Field_1,MP2,F2,3,V3,59.82151064
Field_1,MP2,F2,4,V4,63.9414998
Field_1,MP3,F3,1,V4,63.4414998
Field_1,MP3,F3,2,V3,64.52151064
Field_1,MP3,F3,3,V2,63.1832308
Field_1,MP3,F3,4,V1,65.58714792
Field_1,MP4,F4,1,V1,78.68714792
Field_1,MP4,F4,2,V3,68.82151064
Field_1,MP4,F4,3,V4,71.4414998
Field_1,MP4,F4,4,V2,70.0832308
Field_2,MP5,F1,1,V3,55.27384352
Field_2,MP5,F1,2,V2,56.4680537
Field_2,MP5,F1,3,V1,42.12182511
Field_2,MP5,F1,4,V4,44.098792
Field_2,MP6,F2,1,V3,67.27384352
Field_2,MP6,F2,2,V4,59.698792
Field_2,MP6,F2,3,V1,70.12182511
Field_2,MP6,F2,4,V2,67.5680537
Field_2,MP7,F3,1,V1,59.02182511
Field_2,MP7,F3,2,V3,47.57384352
Field_2,MP7,F3,3,V2,48.3680537
Field_2,MP7,F3,4,V4,58.398792
Field_2,MP8,F4,1,V3,66.77384352
Field_2,MP8,F4,2,V1,66.12182511
Field_2,MP8,F4,3,V2,65.2680537
Field_2,MP8,F4,4,V4,71.698792
Field_3,MP10,F2,1,V4,41.98330536
Field_3,MP10,F2,2,V3,41.12293847
Field_3,MP10,F2,3,V2,46.16363138
Field_3,MP10,F2,4,V1,49.66920029
Field_3,MP11,F3,1,V2,48.76363138
Field_3,MP11,F3,2,V4,50.58330536
Field_3,MP11,F3,3,V3,62.32293847
Field_3,MP11,F3,4,V1,48.86920029
Field_3,MP12,F4,1,V4,54.48330536
Field_3,MP12,F4,2,V1,58.26920029
Field_3,MP12,F4,3,V3,45.32293847
Field_3,MP12,F4,4,V2,61.36363138
Field_3,MP9,F1,1,V4,26.18330536
Field_3,MP9,F1,2,V3,40.42293847
Field_3,MP9,F1,3,V1,33.16920029
Field_3,MP9,F1,4,V2,47.66363138
Field_4,MP13,F1,1,V3,42.62162032
Field_4,MP13,F1,2,V4,35.01242894
Field_4,MP13,F1,3,V1,26.77094472
Field_4,MP13,F1,4,V2,45.31477034
Field_4,MP14,F2,1,V4,51.91242894
Field_4,MP14,F2,2,V3,48.62162032
Field_4,MP14,F2,3,V2,50.91477034
Field_4,MP14,F2,4,V1,31.07094472
Field_4,MP15,F3,1,V4,52.11242894
Field_4,MP15,F3,2,V2,45.71477034
Field_4,MP15,F3,3,V1,46.27094472
Field_4,MP15,F3,4,V3,53.52162032
Field_4,MP16,F4,1,V2,57.51477034
Field_4,MP16,F4,2,V3,54.22162032
Field_4,MP16,F4,3,V4,47.71242894
Field_4,MP16,F4,4,V1,48.67094472